,State,Sex,Year,Name,Number,Latitude,Longitude,City
0,CA,F,1980,Jennifer,5611,37.2718745,-119.2704153,California
1,CA,F,1980,Melissa,2984,37.2718745,-119.2704153,California
2,CA,F,1980,Jessica,2928,37.2718745,-119.2704153,California
3,CA,F,1980,Sarah,2578,37.2718745,-119.2704153,California
4,CA,F,1980,Michelle,2432,37.2718745,-119.2704153,California
5,CA,F,1980,Maria,2246,37.2718745,-119.2704153,California
6,CA,F,1980,Nicole,2239,37.2718745,-119.2704153,California
7,CA,F,1980,Elizabeth,2214,37.2718745,-119.2704153,California
8,CA,F,1980,Christina,2088,37.2718745,-119.2704153,California
9,CA,F,1980,Amanda,1878,37.2718745,-119.2704153,California
10,CA,F,1980,Stephanie,1617,37.2718745,-119.2704153,California
11,CA,F,1980,Lisa,1615,37.2718745,-119.2704153,California
12,CA,F,1980,Heather,1583,37.2718745,-119.2704153,California
13,CA,F,1980,Amber,1493,37.2718745,-119.2704153,California
14,CA,F,1980,Kimberly,1464,37.2718745,-119.2704153,California
15,CA,F,1980,Tiffany,1402,37.2718745,-119.2704153,California
16,CA,F,1980,Veronica,1397,37.2718745,-119.2704153,California
17,CA,F,1980,Rebecca,1367,37.2718745,-119.2704153,California
18,CA,F,1980,Laura,1348,37.2718745,-119.2704153,California
19,CA,F,1980,Angela,1338,37.2718745,-119.2704153,California
20,CA,F,1980,Amy,1298,37.2718745,-119.2704153,California
21,CA,F,1980,Erin,1289,37.2718745,-119.2704153,California
22,CA,F,1980,Sara,1222,37.2718745,-119.2704153,California
23,CA,F,1981,Jennifer,5629,37.2718745,-119.2704153,California
24,CA,F,1981,Jessica,3745,37.2718745,-119.2704153,California
25,CA,F,1981,Melissa,2844,37.2718745,-119.2704153,California
26,CA,F,1981,Sarah,2834,37.2718745,-119.2704153,California
27,CA,F,1981,Michelle,2461,37.2718745,-119.2704153,California
28,CA,F,1981,Nicole,2349,37.2718745,-119.2704153,California
29,CA,F,1981,Elizabeth,2312,37.2718745,-119.2704153,California
30,CA,F,1981,Maria,2239,37.2718745,-119.2704153,California
31,CA,F,1981,Amanda,2114,37.2718745,-119.2704153,California
32,CA,F,1981,Christina,2081,37.2718745,-119.2704153,California
33,CA,F,1981,Stephanie,1916,37.2718745,-119.2704153,California
34,CA,F,1981,Amber,1577,37.2718745,-119.2704153,California
35,CA,F,1981,Lisa,1534,37.2718745,-119.2704153,California
36,CA,F,1981,Heather,1491,37.2718745,-119.2704153,California
37,CA,F,1981,Rebecca,1463,37.2718745,-119.2704153,California
38,CA,F,1981,Amy,1461,37.2718745,-119.2704153,California
39,CA,F,1981,Tiffany,1398,37.2718745,-119.2704153,California
40,CA,F,1981,Laura,1382,37.2718745,-119.2704153,California
41,CA,F,1981,Crystal,1372,37.2718745,-119.2704153,California
42,CA,F,1981,Kimberly,1364,37.2718745,-119.2704153,California
43,CA,F,1981,Erin,1306,37.2718745,-119.2704153,California
44,CA,F,1981,Angela,1298,37.2718745,-119.2704153,California
45,CA,F,1981,Andrea,1273,37.2718745,-119.2704153,California
46,CA,F,1981,Veronica,1248,37.2718745,-119.2704153,California
47,CA,F,1981,Monica,1238,37.2718745,-119.2704153,California
48,CA,F,1981,Danielle,1208,37.2718745,-119.2704153,California
49,CA,F,1982,Jennifer,5812,37.2718745,-119.2704153,California
50,CA,F,1982,Jessica,4250,37.2718745,-119.2704153,California
51,CA,F,1982,Sarah,2791,37.2718745,-119.2704153,California
52,CA,F,1982,Melissa,2734,37.2718745,-119.2704153,California
53,CA,F,1982,Michelle,2464,37.2718745,-119.2704153,California
54,CA,F,1982,Nicole,2406,37.2718745,-119.2704153,California
55,CA,F,1982,Elizabeth,2312,37.2718745,-119.2704153,California
56,CA,F,1982,Amanda,2236,37.2718745,-119.2704153,California
57,CA,F,1982,Christina,2146,37.2718745,-119.2704153,California
58,CA,F,1982,Maria,2094,37.2718745,-119.2704153,California
59,CA,F,1982,Stephanie,1981,37.2718745,-119.2704153,California
60,CA,F,1982,Crystal,1862,37.2718745,-119.2704153,California
61,CA,F,1982,Vanessa,1755,37.2718745,-119.2704153,California
62,CA,F,1982,Amber,1611,37.2718745,-119.2704153,California
63,CA,F,1982,Tiffany,1554,37.2718745,-119.2704153,California
64,CA,F,1982,Heather,1531,37.2718745,-119.2704153,California
65,CA,F,1982,Amy,1413,37.2718745,-119.2704153,California
66,CA,F,1982,Kimberly,1389,37.2718745,-119.2704153,California
67,CA,F,1982,Rebecca,1374,37.2718745,-119.2704153,California
68,CA,F,1982,Lisa,1337,37.2718745,-119.2704153,California
69,CA,F,1982,Laura,1333,37.2718745,-119.2704153,California
70,CA,F,1982,Erin,1304,37.2718745,-119.2704153,California
71,CA,F,1982,Veronica,1282,37.2718745,-119.2704153,California
72,CA,F,1982,Andrea,1242,37.2718745,-119.2704153,California
73,CA,F,1982,Angela,1232,37.2718745,-119.2704153,California
74,CA,F,1982,Monica,1228,37.2718745,-119.2704153,California
75,CA,F,1983,Jennifer,5829,37.2718745,-119.2704153,California
76,CA,F,1983,Jessica,4508,37.2718745,-119.2704153,California
77,CA,F,1983,Nicole,2645,37.2718745,-119.2704153,California
78,CA,F,1983,Melissa,2622,37.2718745,-119.2704153,California
79,CA,F,1983,Sarah,2608,37.2718745,-119.2704153,California
80,CA,F,1983,Elizabeth,2381,37.2718745,-119.2704153,California
81,CA,F,1983,Michelle,2361,37.2718745,-119.2704153,California
82,CA,F,1983,Stephanie,2323,37.2718745,-119.2704153,California
83,CA,F,1983,Christina,2279,37.2718745,-119.2704153,California
84,CA,F,1983,Ashley,2257,37.2718745,-119.2704153,California
85,CA,F,1983,Amanda,2237,37.2718745,-119.2704153,California
86,CA,F,1983,Heather,1994,37.2718745,-119.2704153,California
87,CA,F,1983,Crystal,1890,37.2718745,-119.2704153,California
88,CA,F,1983,Maria,1779,37.2718745,-119.2704153,California
89,CA,F,1983,Vanessa,1541,37.2718745,-119.2704153,California
90,CA,F,1983,Amber,1534,37.2718745,-119.2704153,California
91,CA,F,1983,Kimberly,1465,37.2718745,-119.2704153,California
92,CA,F,1983,Tiffany,1444,37.2718745,-119.2704153,California
93,CA,F,1983,Laura,1346,37.2718745,-119.2704153,California
94,CA,F,1983,Rebecca,1340,37.2718745,-119.2704153,California
95,CA,F,1983,Megan,1338,37.2718745,-119.2704153,California
96,CA,F,1983,Amy,1319,37.2718745,-119.2704153,California
97,CA,F,1983,Danielle,1310,37.2718745,-119.2704153,California
98,CA,F,1983,Rachel,1290,37.2718745,-119.2704153,California
99,CA,F,1983,Erin,1287,37.2718745,-119.2704153,California
100,CA,F,1983,Lisa,1275,37.2718745,-119.2704153,California
101,CA,F,1983,Lauren,1222,37.2718745,-119.2704153,California
102,CA,F,1984,Jennifer,5518,37.2718745,-119.2704153,California
103,CA,F,1984,Jessica,5008,37.2718745,-119.2704153,California
104,CA,F,1984,Ashley,2966,37.2718745,-119.2704153,California
105,CA,F,1984,Nicole,2671,37.2718745,-119.2704153,California
106,CA,F,1984,Melissa,2557,37.2718745,-119.2704153,California
107,CA,F,1984,Sarah,2505,37.2718745,-119.2704153,California
108,CA,F,1984,Stephanie,2459,37.2718745,-119.2704153,California
109,CA,F,1984,Amanda,2294,37.2718745,-119.2704153,California
110,CA,F,1984,Elizabeth,2291,37.2718745,-119.2704153,California
111,CA,F,1984,Michelle,2235,37.2718745,-119.2704153,California
112,CA,F,1984,Christina,2193,37.2718745,-119.2704153,California
113,CA,F,1984,Heather,2015,37.2718745,-119.2704153,California
114,CA,F,1984,Vanessa,1929,37.2718745,-119.2704153,California
115,CA,F,1984,Crystal,1840,37.2718745,-119.2704153,California
116,CA,F,1984,Maria,1636,37.2718745,-119.2704153,California
117,CA,F,1984,Megan,1611,37.2718745,-119.2704153,California
118,CA,F,1984,Danielle,1588,37.2718745,-119.2704153,California
119,CA,F,1984,Amber,1555,37.2718745,-119.2704153,California
120,CA,F,1984,Tiffany,1508,37.2718745,-119.2704153,California
121,CA,F,1984,Laura,1449,37.2718745,-119.2704153,California
122,CA,F,1984,Rachel,1435,37.2718745,-119.2704153,California
123,CA,F,1984,Kimberly,1390,37.2718745,-119.2704153,California
124,CA,F,1984,Lauren,1382,37.2718745,-119.2704153,California
125,CA,F,1984,Amy,1294,37.2718745,-119.2704153,California
126,CA,F,1984,Rebecca,1253,37.2718745,-119.2704153,California
127,CA,F,1984,Andrea,1239,37.2718745,-119.2704153,California
128,CA,F,1985,Jessica,5537,37.2718745,-119.2704153,California
129,CA,F,1985,Jennifer,4965,37.2718745,-119.2704153,California
130,CA,F,1985,Ashley,3928,37.2718745,-119.2704153,California
131,CA,F,1985,Amanda,3167,37.2718745,-119.2704153,California
132,CA,F,1985,Nicole,2889,37.2718745,-119.2704153,California
